"VEHICLE: CARGO VAN, SPRINTER, CUBE VAN, STRAIGHT TRUCK, TRACTOR",DISTANCE: Miles,"PICKUP STATE: eg - TX, MI","DESTINATION STATE: eg - WI, IL","PICKUP CITY: eg - LAREDO, DALLAS","DESTINATION CITY: eg - HOPKINSVILLE, DALLAS",PICKUP DATE: dd-mm-yyyy,DELIVERY DATE: dd-mm-yyyy,Enter Your Bid Price
TRACTOR,1942,NX,MI,GUADALUPE,VICKSBURG,29-01-2021,01-02-2021,0
STRAIGHT TRUCK,1618,MI,TX,SOUTH LYON,LAREDO,29-01-2021,31-01-2021,0
STRAIGHT TRUCK,1179,CU,AL,SALTILLO,WOODSTOCK,29-01-2021,01-02-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,29-01-2021,01-02-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,29-01-2021,30-01-2021,0
CUBE VAN,1918,NX,ON,GARCÍA,WOODSTOCK,29-01-2021,01-02-2021,0
TRACTOR,1177,TX,MO,EL PASO,WENTZVILLE,29-01-2021,30-01-2021,0
SPRINTER,188,TX,TX,LOS INDIOS,LAREDO,29-01-2021,29-01-2021,0
CARGO VAN,1363,IN,TX,LAFAYETTE,LAREDO,29-01-2021,31-01-2021,0
SPRINTER,1638,MI,TX,CLINTON TOWNSHIP,LAREDO,29-01-2021,31-01-2021,0
CARGO VAN,1452,IN,TX,NORTH LIBERTY,LAREDO,29-01-2021,31-01-2021,0
CARGO VAN,1403,NX,KY,GUADALUPE,LOUISVILLE,29-01-2021,02-02-2021,0
TRACTOR,673,TN,TN,GALLATIN,GALLATIN,29-01-2021,01-02-2021,0
TRACTOR,2031,NC,MR,MARION,CUAUTLA,29-01-2021,05-02-2021,0
TRACTOR,497,OH,TN,STRONGSVILLE,SPRINGFIELD,29-01-2021,30-01-2021,0
CARGO VAN,2078,SL,MI,ZONA INDUSTRIAL,HIGHLAND PARK,29-01-2021,03-02-2021,0
SPRINTER,1610,OH,TX,BEDFORD,LAREDO,29-01-2021,01-02-2021,0
STRAIGHT TRUCK,1235,KY,TX,RUSSELL SPRINGS,LAREDO,29-01-2021,01-02-2021,0
CARGO VAN,1382,TX,IN,LAREDO,CONNERSVILLE,27-01-2021,29-01-2021,0
SPRINTER,1595,TX,MI,LAREDO,BROWNSTOWN,27-01-2021,29-01-2021,0
STRAIGHT TRUCK,1554,TX,OH,LAREDO,TOLEDO,27-01-2021,29-01-2021,0
CUBE VAN,1554,TX,OH,LAREDO,TOLEDO,27-01-2021,29-01-2021,0
SPRINTER,467,TX,TX,LAREDO,SANGER,27-01-2021,28-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,27-01-2021,29-01-2021,0
CUBE VAN,1260,SC,TX,ANDERSON,LAREDO,27-01-2021,29-01-2021,0
CARGO VAN,1565,TX,OH,LAREDO,TOLEDO,27-01-2021,29-01-2021,0
STRAIGHT TRUCK,1046,TX,AL,LAREDO,PELL CITY,27-01-2021,28-01-2021,0
CUBE VAN,605,TX,QA,LAREDO,SAN JUAN DEL RÍO,27-01-2021,28-01-2021,0
CUBE VAN,187,TX,CU,LAREDO,CENTRO,27-01-2021,28-01-2021,0
STRAIGHT TRUCK,1432,SC,TX,SUMMERVILLE,LAREDO,27-01-2021,29-01-2021,0
TRACTOR,1118,TX,TN,LAREDO,SPRINGFIELD,27-01-2021,28-01-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,27-01-2021,28-01-2021,0
TRACTOR,1363,IN,TX,LAFAYETTE,LAREDO,27-01-2021,28-01-2021,0
CARGO VAN,1554,MI,TX,MUSKEGON,LAREDO,27-01-2021,29-01-2021,0
TRACTOR,315,KY,OH,BOWLING GREEN,CHILLICOTHE,27-01-2021,28-01-2021,0
SPRINTER,529,TN,MI,GALLATIN,WALKER,27-01-2021,28-01-2021,0
SPRINTER,1362,TX,IN,LAREDO,LAFAYETTE,27-01-2021,28-01-2021,0
SPRINTER,1581,MI,TX,MONROE,LAREDO,27-01-2021,29-01-2021,0
TRACTOR,920,SC,WI,ROCK HILL,HORICON,27-01-2021,28-01-2021,0
TRACTOR,673,TN,TN,GALLATIN,GALLATIN,27-01-2021,29-01-2021,0
SPRINTER,601,TN,MI,LEWISBURG,NOVI,27-01-2021,28-01-2021,0
SPRINTER,123,CT,MA,MILFORD,ATTLEBORO,27-01-2021,27-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,27-01-2021,27-01-2021,0
CUBE VAN,1447,WI,TX,MENOMONEE FALLS,LAREDO,27-01-2021,29-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,27-01-2021,27-01-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,26-01-2021,27-01-2021,0
CARGO VAN,580,MI,TN,HOLLY,VONORE,26-01-2021,27-01-2021,0
SPRINTER,157,TX,TX,HIDALGO,LAREDO,26-01-2021,27-01-2021,0
TRACTOR,1559,TX,OH,LAREDO,TOLEDO,26-01-2021,28-01-2021,0
STRAIGHT TRUCK,1575,TX,MI,LAREDO,LANSING,26-01-2021,28-01-2021,0
TRACTOR,1499,TX,MI,LAREDO,THREE RIVERS,26-01-2021,28-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,26-01-2021,27-01-2021,0
CARGO VAN,1575,TX,MI,LAREDO,LANSING,26-01-2021,29-01-2021,0
SPRINTER,1538,MI,TX,MARSHALL,LAREDO,26-01-2021,28-01-2021,0
CUBE VAN,1464,TX,OH,LAREDO,CHILLICOTHE,26-01-2021,28-01-2021,0
STRAIGHT TRUCK,1046,TX,AL,LAREDO,PELL CITY,26-01-2021,27-01-2021,0
TRACTOR,2203,GJ,MI,CENTRO,REDFORD,26-01-2021,29-01-2021,0
CARGO VAN,224,TX,CU,LAREDO,EL DERRAMADERO,26-01-2021,27-01-2021,0
CARGO VAN,2056,SL,MI,SAN LUIS POTOSÍ,BELLEVILLE,26-01-2021,29-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,26-01-2021,28-01-2021,0
TRACTOR,195,CU,TX,SALTILLO,LAREDO,26-01-2021,27-01-2021,0
SPRINTER,1788,SC,SL,DUNCAN,VILLA DE REYES,26-01-2021,29-01-2021,0
CARGO VAN,1705,TX,MI,EL PASO,DETROIT,26-01-2021,28-01-2021,0
SPRINTER,1763,NX,MI,GUADALUPE,DETROIT,26-01-2021,29-01-2021,0
CARGO VAN,451,OH,TN,DELTA,PORTLAND,26-01-2021,26-01-2021,0
CUBE VAN,2326,TX,WA,LAREDO,KENT,26-01-2021,29-01-2021,0
STRAIGHT TRUCK,467,TX,TX,LAREDO,SANGER,26-01-2021,27-01-2021,0
SPRINTER,1442,WI,TX,MILWAUKEE,LAREDO,26-01-2021,28-01-2021,0
CARGO VAN,2083,MR,IL,CUAUTLA,JOLIET,26-01-2021,29-01-2021,0
STRAIGHT TRUCK,1456,KY,NX,GEORGETOWN,APODACA,26-01-2021,29-01-2021,0
STRAIGHT TRUCK,435,MI,KY,MONROE,BOWLING GREEN,26-01-2021,26-01-2021,0
STRAIGHT TRUCK,554,TN,OH,FAYETTEVILLE,TOLEDO,26-01-2021,26-01-2021,0
SPRINTER,326,MI,IL,TEMPERANCE,BELVIDERE,26-01-2021,26-01-2021,0
TRACTOR,1401,IN,TX,PERU,LAREDO,26-01-2021,27-01-2021,0
TRACTOR,1942,NX,MI,GUADALUPE,VICKSBURG,26-01-2021,28-01-2021,0
CARGO VAN,254,MI,OH,PORTAGE,SHEFFIELD LAKE,26-01-2021,26-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,26-01-2021,26-01-2021,0
SPRINTER,243,IL,KY,URBANA,LOUISVILLE,26-01-2021,26-01-2021,0
CARGO VAN,691,TX,TX,EL PASO,LAREDO,26-01-2021,26-01-2021,0
SPRINTER,156,TX,NX,LAREDO,MONTERREY,26-01-2021,26-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,25-01-2021,26-01-2021,0
CUBE VAN,1731,JA,TN,TLAJOMULCO,SPRING HILL,25-01-2021,28-01-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,25-01-2021,26-01-2021,0
TRACTOR,1643,TX,MI,LAREDO,AUBURN HILLS,25-01-2021,28-01-2021,0
CUBE VAN,150,NX,TX,GUADALUPE,LAREDO,25-01-2021,26-01-2021,0
STRAIGHT TRUCK,1757,MI,NX,DETROIT,SALINAS VICTORIA,25-01-2021,29-01-2021,0
CARGO VAN,1464,TX,OH,LAREDO,CHILLICOTHE,25-01-2021,27-01-2021,0
SPRINTER,2182,TX,QC,LAREDO,TERREBONNE,25-01-2021,28-01-2021,0
CUBE VAN,2120,SL,MI,VILLA DE REYES,AUBURN HILLS,25-01-2021,29-01-2021,0
TRACTOR,1478,KY,TX,LOUISVILLE,EL PASO,25-01-2021,28-01-2021,0
TRACTOR,1478,KY,TX,LOUISVILLE,EL PASO,25-01-2021,28-01-2021,0
TRACTOR,332,KY,MI,LOUISVILLE,NEW BOSTON,25-01-2021,27-01-2021,0
CUBE VAN,150,NX,TX,GUADALUPE,LAREDO,25-01-2021,26-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,25-01-2021,28-01-2021,0
TRACTOR,2031,NC,MR,MARION,CUAUTLA,25-01-2021,29-01-2021,0
CUBE VAN,497,TX,AG,LAREDO,AGUASCALIENTES,25-01-2021,26-01-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,25-01-2021,26-01-2021,0
STRAIGHT TRUCK,1432,SC,TX,SUMMERVILLE,LAREDO,25-01-2021,27-01-2021,0
SPRINTER,698,TN,TX,OLD HICKORY,DENTON,25-01-2021,26-01-2021,0
STRAIGHT TRUCK,1065,TX,GA,LAREDO,WEST POINT,25-01-2021,26-01-2021,0
SPRINTER,1604,MI,TX,TAYLOR,LAREDO,25-01-2021,27-01-2021,0
TRACTOR,673,TN,TN,GALLATIN,GALLATIN,25-01-2021,27-01-2021,0
CARGO VAN,1458,OH,TX,SIDNEY,LAREDO,25-01-2021,27-01-2021,0
STRAIGHT TRUCK,1128,TN,TX,PORTLAND,LAREDO,25-01-2021,27-01-2021,0
SPRINTER,508,KY,MO,SHEPHERDSVILLE,BLUE SPRINGS,25-01-2021,26-01-2021,0
TRACTOR,1411,WI,TX,OSCEOLA,LAREDO,25-01-2021,27-01-2021,0
STRAIGHT TRUCK,1258,KY,TX,LOUISVILLE,LAREDO,25-01-2021,27-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,25-01-2021,25-01-2021,0
STRAIGHT TRUCK,266,IN,OH,PLYMOUTH,BROOK PARK,25-01-2021,25-01-2021,0
TRACTOR,449,OH,AL,VANDALIA,MADISON,24-01-2021,25-01-2021,0
TRACTOR,331,MI,KY,NEW BOSTON,LOUISVILLE,24-01-2021,25-01-2021,0
SPRINTER,1465,TX,OH,LAREDO,COLUMBUS,24-01-2021,26-01-2021,0
SPRINTER,1575,TX,MI,LAREDO,LANSING,24-01-2021,26-01-2021,0
TRACTOR,1155,TN,TX,SMITHVILLE,LAREDO,24-01-2021,25-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,24-01-2021,27-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,24-01-2021,25-01-2021,0
TRACTOR,2024,TX,OH,LAREDO,NORTHWOOD,24-01-2021,28-01-2021,0
STRAIGHT TRUCK,2203,GJ,MI,CENTRO,REDFORD,23-01-2021,27-01-2021,0
SPRINTER,1121,TN,TX,LEBANON,LAREDO,23-01-2021,25-01-2021,0
CARGO VAN,2056,SL,MI,SAN LUIS POTOSÍ,BELLEVILLE,23-01-2021,25-01-2021,0
SPRINTER,1581,NC,TX,KENANSVILLE,LAREDO,23-01-2021,25-01-2021,0
TRACTOR,1155,TN,TX,SMITHVILLE,LAREDO,23-01-2021,25-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,23-01-2021,26-01-2021,0
SPRINTER,1643,TX,MI,LAREDO,AUBURN HILLS,23-01-2021,25-01-2021,0
STRAIGHT TRUCK,1544,TX,MI,LAREDO,MUSKEGON,23-01-2021,25-01-2021,0
TRACTOR,1046,TX,AL,LAREDO,PELL CITY,23-01-2021,25-01-2021,0
TRACTOR,2387,TX,TX,PHARR,PHARR,23-01-2021,27-01-2021,0
CUBE VAN,1724,JA,AL,EL SALTO,MADISON,23-01-2021,26-01-2021,0
TRACTOR,1499,TX,MI,LAREDO,THREE RIVERS,23-01-2021,24-01-2021,0
TRACTOR,1603,TX,OH,LAREDO,BROOK PARK,23-01-2021,26-01-2021,0
SPRINTER,467,TX,TX,LAREDO,SANGER,23-01-2021,24-01-2021,0
SPRINTER,1464,TX,OH,LAREDO,CHILLICOTHE,23-01-2021,25-01-2021,0
TRACTOR,1928,JA,SC,EL SALTO,DUNCAN,23-01-2021,26-01-2021,0
TRACTOR,1597,OH,TX,LORAIN,LAREDO,23-01-2021,25-01-2021,0
SPRINTER,607,SC,MS,SUMMERVILLE,BLUE SPRINGS,23-01-2021,25-01-2021,0
SPRINTER,339,WI,OH,JANESVILLE,LIMA,23-01-2021,25-01-2021,0
STRAIGHT TRUCK,1235,KY,TX,RUSSELL SPRINGS,LAREDO,23-01-2021,25-01-2021,0
STRAIGHT TRUCK,2246,EM,OH,CENTRO,FREMONT,22-01-2021,28-01-2021,0
STRAIGHT TRUCK,1906,QA,SC,COLON,GREER,22-01-2021,27-01-2021,0
SPRINTER,1674,TX,MI,LAREDO,PORT HURON,22-01-2021,25-01-2021,0
STRAIGHT TRUCK,1763,NX,MI,GUADALUPE,DETROIT,22-01-2021,25-01-2021,0
CARGO VAN,1465,TX,OH,LAREDO,COLUMBUS,22-01-2021,25-01-2021,0
CUBE VAN,1399,IN,TX,PORTAGE,LAREDO,22-01-2021,24-01-2021,0
TRACTOR,2203,GJ,MI,CENTRO,REDFORD,22-01-2021,25-01-2021,0
SPRINTER,467,TX,TX,LAREDO,SANGER,22-01-2021,23-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,22-01-2021,25-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,22-01-2021,24-01-2021,0
CARGO VAN,580,MI,TN,HOLLY,VONORE,22-01-2021,23-01-2021,0
STRAIGHT TRUCK,2108,AG,ON,AGUASCALIENTES,WINDSOR,22-01-2021,26-01-2021,0
STRAIGHT TRUCK,1179,CU,AL,SALTILLO,WOODSTOCK,22-01-2021,25-01-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,22-01-2021,25-01-2021,0
STRAIGHT TRUCK,224,TX,CU,LAREDO,EL DERRAMADERO,22-01-2021,23-01-2021,0
TRACTOR,1745,AZ,KY,NOGALES,LOUISVILLE,22-01-2021,26-01-2021,0
STRAIGHT TRUCK,1244,TX,KY,LAREDO,SHEPHERDSVILLE,22-01-2021,23-01-2021,0
CUBE VAN,1762,NX,MI,ALMERÍA,REDFORD,22-01-2021,25-01-2021,0
TRACTOR,2031,NC,MR,MARION,CUAUTLA,22-01-2021,28-01-2021,0
CUBE VAN,693,TX,EM,LAREDO,TLALNEPANTLA,22-01-2021,25-01-2021,0
TRACTOR,1620,MI,TX,MOUNT PLEASANT,LAREDO,22-01-2021,25-01-2021,0
STRAIGHT TRUCK,1744,MI,TX,EAST TAWAS,LAREDO,22-01-2021,25-01-2021,0
CUBE VAN,1791,CU,MI,SALTILLO,BELLEVILLE,22-01-2021,26-01-2021,0
CARGO VAN,1803,CU,MI,SALTILLO,DEARBORN,22-01-2021,25-01-2021,0
STRAIGHT TRUCK,1432,SC,TX,SUMMERVILLE,LAREDO,22-01-2021,24-01-2021,0
CARGO VAN,1643,MI,TX,HOLLY,LAREDO,22-01-2021,24-01-2021,0
SPRINTER,516,TN,MI,GALLATIN,DETROIT,22-01-2021,22-01-2021,0
SPRINTER,1609,TX,MI,LAREDO,LIVONIA,22-01-2021,25-01-2021,0
TRACTOR,1270,KY,TX,LOUISVILLE,LAREDO,22-01-2021,25-01-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,22-01-2021,24-01-2021,0
SPRINTER,1609,TX,MI,LAREDO,LIVONIA,22-01-2021,25-01-2021,0
TRACTOR,1118,TX,TN,LAREDO,SPRINGFIELD,22-01-2021,25-01-2021,0
CUBE VAN,1175,TN,TX,CHATTANOOGA,LAREDO,22-01-2021,24-01-2021,0
STRAIGHT TRUCK,1442,WI,TX,MILWAUKEE,LAREDO,22-01-2021,24-01-2021,0
STRAIGHT TRUCK,1260,SC,TX,ANDERSON,LAREDO,22-01-2021,24-01-2021,0
TRACTOR,1411,WI,TX,OSCEOLA,LAREDO,22-01-2021,24-01-2021,0
TRACTOR,673,TN,TN,GALLATIN,GALLATIN,22-01-2021,25-01-2021,0
STRAIGHT TRUCK,1286,TN,TX,MASCOT,BROWNSVILLE,22-01-2021,26-01-2021,0
TRACTOR,2031,NC,MR,MARION,CUAUTLA,22-01-2021,27-01-2021,0
STRAIGHT TRUCK,1641,OH,TX,MIDDLEFIELD,LAREDO,22-01-2021,25-01-2021,0
STRAIGHT TRUCK,1264,IA,TX,WAVERLY,LAREDO,22-01-2021,25-01-2021,0
TRACTOR,1270,KY,TX,LOUISVILLE,LAREDO,22-01-2021,25-01-2021,0
TRACTOR,1566,KS,EM,OSAGE CITY,TEPOTZOTLÁN,22-01-2021,28-01-2021,0
STRAIGHT TRUCK,2203,GJ,MI,CENTRO,REDFORD,22-01-2021,24-01-2021,0
TRACTOR,2246,EM,OH,CENTRO,FREMONT,22-01-2021,26-01-2021,0
TRACTOR,1928,JA,SC,EL SALTO,DUNCAN,22-01-2021,25-01-2021,0
STRAIGHT TRUCK,2246,EM,OH,CENTRO,FREMONT,22-01-2021,26-01-2021,0
SPRINTER,1640,TX,MI,LAREDO,AUBURN HILLS,21-01-2021,23-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,22-01-2021,22-01-2021,0
SPRINTER,162,KY,KY,CORBIN,LOUISVILLE,22-01-2021,22-01-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,21-01-2021,22-01-2021,0
TRACTOR,550,TX,JA,LAREDO,LAGOS DE MORENO,21-01-2021,22-01-2021,0
CARGO VAN,694,SC,IL,SPARTANBURG,CHICAGO,21-01-2021,22-01-2021,0
SPRINTER,149,TX,NX,LAREDO,MONTERREY,21-01-2021,22-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,21-01-2021,22-01-2021,0
SPRINTER,195,TX,CU,LAREDO,ZONA CENTRO,21-01-2021,22-01-2021,0
TRACTOR,1499,TX,MI,LAREDO,THREE RIVERS,21-01-2021,22-01-2021,0
SPRINTER,552,IL,TN,BELVIDERE,GORDONSVILLE,21-01-2021,22-01-2021,0
STRAIGHT TRUCK,1046,TX,AL,LAREDO,PELL CITY,21-01-2021,22-01-2021,0
TRACTOR,547,MI,IA,ROMULUS,WATERLOO,21-01-2021,22-01-2021,0
SPRINTER,547,TN,MO,GALLATIN,BLUE SPRINGS,21-01-2021,21-01-2021,0
SPRINTER,200,KY,TN,LEXINGTON,SPRINGFIELD,21-01-2021,21-01-2021,0
SPRINTER,1153,KY,TX,BOWLING GREEN,LAREDO,21-01-2021,22-01-2021,0
TRACTOR,316,OH,KY,CHILLICOTHE,BOWLING GREEN,21-01-2021,21-01-2021,0
CARGO VAN,416,AL,IN,OXFORD,PRINCETON,21-01-2021,21-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,21-01-2021,21-01-2021,0
SPRINTER,548,TN,MI,GALLATIN,IONIA,21-01-2021,21-01-2021,0
SPRINTER,273,TN,GA,PORTLAND,ATLANTA,21-01-2021,21-01-2021,0
TRACTOR,1232,TX,AL,EL PASO,VANCE,21-01-2021,22-01-2021,0
TRACTOR,187,CU,TX,CENTRO,LAREDO,20-01-2021,22-01-2021,0
TRACTOR,1499,TX,MI,LAREDO,THREE RIVERS,20-01-2021,22-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,20-01-2021,21-01-2021,0
CARGO VAN,1610,MI,TX,HOWELL,LAREDO,20-01-2021,22-01-2021,0
CARGO VAN,794,MI,GA,HOLLY,MONROE,20-01-2021,21-01-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,20-01-2021,21-01-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,20-01-2021,21-01-2021,0
TRACTOR,1432,SC,TX,SUMMERVILLE,LAREDO,20-01-2021,21-01-2021,0
STRAIGHT TRUCK,230,IN,IL,SEYMOUR,CHICAGO,20-01-2021,20-01-2021,0
TRACTOR,1363,IN,TX,LAFAYETTE,LAREDO,20-01-2021,21-01-2021,0
STRAIGHT TRUCK,1046,TX,AL,LAREDO,PELL CITY,20-01-2021,21-01-2021,0
TRACTOR,673,TN,TN,GALLATIN,GALLATIN,20-01-2021,22-01-2021,0
SPRINTER,1676,MI,TX,PORT HURON,LAREDO,20-01-2021,22-01-2021,0
TRACTOR,1499,TX,MI,LAREDO,THREE RIVERS,20-01-2021,21-01-2021,0
TRACTOR,1411,WI,TX,OSCEOLA,LAREDO,20-01-2021,21-01-2021,0
SPRINTER,1698,MI,TX,WAYNE,EL PASO,20-01-2021,21-01-2021,0
TRACTOR,1687,TX,OH,LAREDO,TOLEDO,20-01-2021,21-01-2021,0
CARGO VAN,605,TX,QA,LAREDO,SAN JUAN DEL RÍO,20-01-2021,21-01-2021,0
TRACTOR,468,SC,TN,COLUMBIA,SPRINGFIELD,20-01-2021,20-01-2021,0
STRAIGHT TRUCK,1687,CU,IN,SALTILLO,ANGOLA,20-01-2021,22-01-2021,0
TRACTOR,459,IL,TN,CHICAGO,SPRINGFIELD,20-01-2021,20-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,20-01-2021,20-01-2021,0
CARGO VAN,516,TN,MI,SPRINGFIELD,DEARBORN,20-01-2021,20-01-2021,0
CUBE VAN,1763,NX,MI,GUADALUPE,DETROIT,19-01-2021,22-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,19-01-2021,20-01-2021,0
CUBE VAN,158,TX,NX,LAREDO,GUADALUPE,19-01-2021,20-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,19-01-2021,22-01-2021,0
SPRINTER,157,TX,TX,HIDALGO,LAREDO,19-01-2021,20-01-2021,0
CUBE VAN,1837,KY,GJ,LOUISVILLE,IRAPUATO,19-01-2021,22-01-2021,0
SPRINTER,1122,TN,TX,LEWISBURG,LAREDO,19-01-2021,21-01-2021,0
STRAIGHT TRUCK,1046,TX,AL,LAREDO,PELL CITY,19-01-2021,20-01-2021,0
STRAIGHT TRUCK,1274,IN,TX,BRAZIL,LAREDO,19-01-2021,21-01-2021,0
CARGO VAN,1442,WI,TX,MILWAUKEE,LAREDO,19-01-2021,21-01-2021,0
SPRINTER,507,TN,MI,GALLATIN,EATON RAPIDS,19-01-2021,20-01-2021,0
CUBE VAN,497,TX,AG,LAREDO,AGUASCALIENTES,19-01-2021,20-01-2021,0
SPRINTER,1260,SC,TX,ANDERSON,LAREDO,19-01-2021,21-01-2021,0
SPRINTER,123,CT,MA,MILFORD,ATTLEBORO,19-01-2021,19-01-2021,0
STRAIGHT TRUCK,1432,SC,TX,SUMMERVILLE,LAREDO,19-01-2021,21-01-2021,0
SPRINTER,516,TN,MI,GALLATIN,DETROIT,19-01-2021,19-01-2021,0
TRACTOR,456,TN,IL,SPRINGFIELD,CHICAGO,19-01-2021,20-01-2021,0
TRACTOR,437,KY,MI,BOWLING GREEN,MONROE,19-01-2021,19-01-2021,0
TRACTOR,1401,IN,TX,PERU,LAREDO,19-01-2021,20-01-2021,0
SPRINTER,576,OH,MO,NORTH ROYALTON,WENTZVILLE,19-01-2021,20-01-2021,0
SPRINTER,1496,OH,TX,DELAWARE,LAREDO,19-01-2021,21-01-2021,0
TRACTOR,1384,KY,TX,ERLANGER,LOS INDIOS,19-01-2021,20-01-2021,0
TRACTOR,2039,MR,NC,CUAUTLA,MORGANTON,19-01-2021,22-01-2021,0
TRACTOR,292,MO,TN,WENTZVILLE,JACKSON,19-01-2021,19-01-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,18-01-2021,19-01-2021,0
CUBE VAN,150,TX,NX,LAREDO,GENERAL ESCOBEDO,18-01-2021,19-01-2021,0
SPRINTER,200,KY,TN,LEXINGTON,SPRINGFIELD,18-01-2021,19-01-2021,0
TRACTOR,578,QA,TX,QUERÉTARO,LAREDO,18-01-2021,19-01-2021,0
TRACTOR,1121,TN,TX,LEBANON,LAREDO,18-01-2021,20-01-2021,0
STRAIGHT TRUCK,1464,TX,OH,LAREDO,CHILLICOTHE,18-01-2021,20-01-2021,0
STRAIGHT TRUCK,1643,TX,MI,LAREDO,AUBURN HILLS,18-01-2021,21-01-2021,0
SPRINTER,706,TL,TX,TLAXCO,LAREDO,18-01-2021,19-01-2021,0
TRACTOR,1134,IL,TX,MARK,SAN ANTONIO,18-01-2021,19-01-2021,0
TRACTOR,1923,MI,AZ,GRAND RAPIDS,NOGALES,18-01-2021,21-01-2021,0
SPRINTER,2338,ON,GJ,EXETER,APASEO EL GRANDE,18-01-2021,22-01-2021,0
CARGO VAN,696,TX,TX,EL PASO,LAREDO,18-01-2021,19-01-2021,0
STRAIGHT TRUCK,1432,SC,TX,SUMMERVILLE,LAREDO,18-01-2021,20-01-2021,0
TRACTOR,1334,TN,TX,ROGERSVILLE,LAREDO,18-01-2021,19-01-2021,0
SPRINTER,1442,WI,TX,MILWAUKEE,LAREDO,18-01-2021,20-01-2021,0
CARGO VAN,1603,TX,OH,LAREDO,BROOK PARK,18-01-2021,20-01-2021,0
CARGO VAN,1618,MI,TX,SOUTH LYON,LAREDO,18-01-2021,20-01-2021,0
SPRINTER,467,TX,TX,LAREDO,SANGER,18-01-2021,19-01-2021,0
SPRINTER,1456,NX,IL,SALINAS VICTORIA,JOLIET,18-01-2021,22-01-2021,0
SPRINTER,1527,OH,TX,HEBRON,LOS INDIOS,18-01-2021,20-01-2021,0
TRACTOR,1361,TX,KY,EL PASO,BOWLING GREEN,18-01-2021,19-01-2021,0
TRACTOR,1992,CU,NY,RAMOS ARIZPE,BUFFALO,18-01-2021,22-01-2021,0
CARGO VAN,1330,NC,TX,HENDERSONVILLE,LAREDO,18-01-2021,20-01-2021,0
TRACTOR,2031,NC,MR,MARION,CUAUTLA,18-01-2021,22-01-2021,0
STRAIGHT TRUCK,1065,TX,GA,LAREDO,WEST POINT,18-01-2021,19-01-2021,0
CARGO VAN,2031,GJ,IN,IRAPUATO,FORT WAYNE,18-01-2021,21-01-2021,0
SPRINTER,1581,MI,TX,MONROE,LAREDO,18-01-2021,20-01-2021,0
STRAIGHT TRUCK,1975,NJ,TX,CLIFTON,LAREDO,18-01-2021,20-01-2021,0
CUBE VAN,1763,NX,MI,GUADALUPE,DETROIT,18-01-2021,20-01-2021,0
SPRINTER,774,MI,AL,LANSING,COTTONDALE,18-01-2021,19-01-2021,0
TRACTOR,1950,TX,MI,LAREDO,WARREN,18-01-2021,20-01-2021,0
TRACTOR,435,MI,KY,MONROE,BOWLING GREEN,18-01-2021,19-01-2021,0
STRAIGHT TRUCK,1496,IN,TX,ANGOLA,LAREDO,18-01-2021,20-01-2021,0
SPRINTER,1892,GA,PU,POOLER,CUAUTLANCINGO,18-01-2021,21-01-2021,0
STRAIGHT TRUCK,403,KY,MI,BOWLING GREEN,STEVENSVILLE,18-01-2021,18-01-2021,0
